id,Clean ID ,Geographic Area Name,Total,Total MOE,TOTAL WHITE ALONE,TOTAL BLACK ,TOTAL NATIVE AMERICAN,TOTAL ASIAN ,NATIVE HAWAIIAN PACIFIC ISLANDER,OTHER RACE,TWO OR MORE ,LATINO,White Percentage,Black Percentage,Native American Percentage,Asian Pecentage,Native Hawaiian PI percentage,Latino Percentage 
1400000US06073008358,6073008358,"Census Tract 83.58, San Diego County, California",7467,594,1981,350,0,2935,425,0,324,1452,26.53006562,4.687290746,0,39.30628097,5.691710192,19.44556047
1400000US06073008359,6073008359,"Census Tract 83.59, San Diego County, California",4540,354,1189,169,8,1369,9,0,334,1462,26.18942731,3.72246696,0.176211454,30.15418502,0.198237885,32.20264317
1400000US06073008360,6073008360,"Census Tract 83.60, San Diego County, California",6801,541,1365,231,3,3159,63,0,519,1461,20.07057786,3.39655933,0.04411116,46.44905161,0.926334363,21.48213498
1400000US06073008361,6073008361,"Census Tract 83.61, San Diego County, California",2634,308,1219,74,0,883,0,10,117,331,46.27942293,2.809415338,0,33.52315869,0,12.56643888
1400000US06073008362,6073008362,"Census Tract 83.62, San Diego County, California",3414,261,2463,86,0,545,0,0,112,208,72.14411248,2.51903925,0,15.96367897,0,6.092560047
1400000US06073008363,6073008363,"Census Tract 83.63, San Diego County, California",4997,508,1546,0,0,2567,0,19,109,756,30.93856314,0,0,51.37082249,0,15.12907745
1400000US06073008364,6073008364,"Census Tract 83.64, San Diego County, California",6031,558,2487,66,25,2533,0,0,150,770,41.23694246,1.09434588,0.414524954,41.99966838,0,12.7673686
1400000US06073008365,6073008365,"Census Tract 83.65, San Diego County, California",3007,144,1510,21,9,1117,0,0,203,147,50.21616229,0.698370469,0.29930163,37.1466578,0,4.888593282
1400000US06073008366,6073008366,"Census Tract 83.66, San Diego County, California",6753,318,3338,0,0,2416,35,0,511,453,49.42988301,0,0,35.77669184,0.518288168,6.70812972
1400000US06073008501,6073008501,"Census Tract 85.01, San Diego County, California",5969,509,4250,0,0,349,0,37,320,1013,71.20120623,0,0,5.846875524,0,16.97101692
1400000US06073008502,6073008502,"Census Tract 85.02, San Diego County, California",7345,527,4339,72,3,584,0,17,385,1945,59.07420014,0.980258679,0.040844112,7.950987066,0,26.48059905
1400000US06073008503,6073008503,"Census Tract 85.03, San Diego County, California",6933,693,4075,0,0,445,0,22,249,2142,58.77686427,0,0,6.418577816,0,30.89571614
1400000US06073008504,6073008504,"Census Tract 85.04, San Diego County, California",6526,380,4208,163,0,570,0,0,211,1374,64.48053938,2.497701502,0,8.734293595,0,21.05424456
1400000US06073008505,6073008505,"Census Tract 85.05, San Diego County, California",6388,528,2790,201,0,1362,0,35,167,1833,43.67564183,3.146524734,0,21.3212273,0,28.69442705
